disease,symptom,source_url,overlap_note,prompt,predicted,source_rank,bits_per_token__lupus,bits_per_token__rheumatoid arthritis,bits_per_token__Sjogren's disease,bits_per_token__celiac disease
lupus,hair thinning or hair loss,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,patient,Sjogren's disease,4,5.066045839342792,4.890287021558878,4.749868018766993,5.026741092842247
lupus,swelling in the legs or around the eyes,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,patient,lupus,1,4.025606961721412,4.199575935764952,4.281573217326748,4.5744440882070245
lupus,fevers that come and go,https://www.niams.nih.gov/health-topics/lupus,shared with rheumatoid arthritis,patient,celiac disease,3,4.1540526346775355,4.282859855367572,4.127250148938641,4.090691087992133
lupus,headaches with episodes of dizziness,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,patient,lupus,1,4.89542832975489,5.2488020576588825,5.013584111019917,5.1896319623958
rheumatoid arthritis,firm lumps beneath the skin near the elbows,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,source-associated but not exclusive,patient,rheumatoid arthritis,1,6.367147401467777,6.312823783285093,6.703601274925636,6.445505865981215
rheumatoid arthritis,joint swelling that makes bending the knees difficult,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,joint swelling can overlap,patient,rheumatoid arthritis,1,6.115489739312263,5.78231536480534,6.24371341112729,6.415520907214787
rheumatoid arthritis,joint stiffness after long periods of rest,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,joint stiffness can overlap,patient,rheumatoid arthritis,1,5.080805473743934,4.8261191231780725,4.852839420020457,4.988424544065746
rheumatoid arthritis,low energy and loss of appetite,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,fatigue can overlap,patient,celiac disease,4,4.01432624872842,4.1757166662494765,4.065804737648498,3.9845800158037945
Sjogren's disease,burning eyes with sensitivity to bright light,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry eye symptoms can overlap,patient,Sjogren's disease,1,5.6822704048020825,5.945814291844005,5.551491524041178,5.625906278035296
Sjogren's disease,a chalky mouth and difficulty tasting food,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry mouth can overlap,patient,celiac disease,3,6.3961454373145,6.676030672150055,6.46882266850181,6.222990485821269
Sjogren's disease,dry skin and aching muscles,https://www.niams.nih.gov/health-topics/sjogrens-disease,aching can overlap,patient,Sjogren's disease,1,4.496028195888333,4.483150749215479,4.424443807981806,4.799536618221335
Sjogren's disease,irritated eyelids and blurry vision,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry eye symptoms can overlap,patient,Sjogren's disease,1,5.386906957201413,5.68102665621445,5.181908354611369,5.5727754949726815
celiac disease,nausea with pain in the abdomen,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,shared nonspecific symptoms,patient,rheumatoid arthritis,4,4.541517779024197,4.478448178455037,4.684455201318415,4.740248535325922
celiac disease,constipation and excess gas,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,shared nonspecific symptoms,patient,celiac disease,1,5.599004554723881,5.632266162425969,5.647173036369825,5.557793975183894
celiac disease,itchy blisters on the knees and elbows,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,dermatitis herpetiformis description,patient,lupus,2,4.548750160901433,4.751574315365927,4.864191532197452,4.732736271214802
celiac disease,numbness or tingling in the limbs,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,may occur for other reasons,patient,lupus,4,2.8607692643552025,2.9046245265912423,2.95103789169477,3.1530494368002504
lupus,hair thinning or hair loss,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,symptom,Sjogren's disease,4,4.752422832466282,4.676505079474502,4.6133725562885175,4.683277585434499
lupus,swelling in the legs or around the eyes,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,symptom,lupus,1,3.999258077835519,4.114344773650361,4.330506886810423,4.507334186236176
lupus,fevers that come and go,https://www.niams.nih.gov/health-topics/lupus,shared with rheumatoid arthritis,symptom,celiac disease,3,4.219904933060341,4.328444784840516,4.097916721306619,3.9860311739328074
lupus,headaches with episodes of dizziness,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,symptom,lupus,1,5.133733505720458,5.576036258249013,5.528052413942763,5.555495410004005
rheumatoid arthritis,firm lumps beneath the skin near the elbows,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,source-associated but not exclusive,symptom,rheumatoid arthritis,1,6.023353170884973,5.908100016406468,6.164567132308616,6.119431025115071
rheumatoid arthritis,joint swelling that makes bending the knees difficult,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,joint swelling can overlap,symptom,rheumatoid arthritis,1,5.967154655170132,5.469609620145956,6.021465782635069,6.321871308995562
rheumatoid arthritis,joint stiffness after long periods of rest,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,joint stiffness can overlap,symptom,rheumatoid arthritis,1,4.817167985144279,4.423709056637216,4.666801543447693,4.727017646262722
rheumatoid arthritis,low energy and loss of appetite,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,fatigue can overlap,symptom,celiac disease,4,3.80374779801812,3.874639114268383,3.830148143020296,3.577985595627963
Sjogren's disease,burning eyes with sensitivity to bright light,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry eye symptoms can overlap,symptom,Sjogren's disease,1,5.623454864202186,5.794082447635473,5.48660791957089,5.625907395922526
Sjogren's disease,a chalky mouth and difficulty tasting food,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry mouth can overlap,symptom,lupus,2,6.058413302804103,6.485913735846348,6.107416739916479,6.108490914889993
Sjogren's disease,dry skin and aching muscles,https://www.niams.nih.gov/health-topics/sjogrens-disease,aching can overlap,symptom,rheumatoid arthritis,2,4.105461099223723,4.040832340795266,4.091402144023916,4.429310351915371
