disease,symptom,source_url,overlap_note,prompt,predicted,source_rank,bits_per_token__lupus,bits_per_token__rheumatoid arthritis,bits_per_token__Sjogren's disease,bits_per_token__celiac disease
lupus,hair thinning or hair loss,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,patient,lupus,1,5.322758101004594,5.359527807491937,5.421602211257388,5.511304455484359
lupus,swelling in the legs or around the eyes,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,patient,rheumatoid arthritis,2,4.517358355081126,4.493754046774437,4.762297632502163,4.732464413550861
lupus,fevers that come and go,https://www.niams.nih.gov/health-topics/lupus,shared with rheumatoid arthritis,patient,celiac disease,3,5.5808088913535885,5.627852453482786,5.461371920724281,5.414331126056981
lupus,headaches with episodes of dizziness,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,patient,celiac disease,4,4.979931632979152,4.915280978145706,4.932881720736073,4.892325892584065
rheumatoid arthritis,firm lumps beneath the skin near the elbows,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,source-associated but not exclusive,patient,rheumatoid arthritis,1,7.281949598136157,6.6987242812033605,7.380571626116999,6.787025325036719
rheumatoid arthritis,joint swelling that makes bending the knees difficult,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,joint swelling can overlap,patient,rheumatoid arthritis,1,7.585497679395459,7.0971913326200236,7.621589060373907,7.762809270022802
rheumatoid arthritis,joint stiffness after long periods of rest,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,joint stiffness can overlap,patient,rheumatoid arthritis,1,5.192617100056842,4.792149040111698,5.080272314090115,5.072151185827216
rheumatoid arthritis,low energy and loss of appetite,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,fatigue can overlap,patient,celiac disease,2,4.4447852310663745,4.4106817512691965,4.626979376393113,4.33807773696085
Sjogren's disease,burning eyes with sensitivity to bright light,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry eye symptoms can overlap,patient,lupus,3,6.267254042260336,6.458050375125606,6.385459368156901,6.286865952177259
Sjogren's disease,a chalky mouth and difficulty tasting food,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry mouth can overlap,patient,lupus,3,6.767060544640012,7.06955539267992,7.004412807418236,6.801009337090235
Sjogren's disease,dry skin and aching muscles,https://www.niams.nih.gov/health-topics/sjogrens-disease,aching can overlap,patient,rheumatoid arthritis,4,5.077174280039848,4.953930885923331,5.129954109469985,5.12448843940319
Sjogren's disease,irritated eyelids and blurry vision,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry eye symptoms can overlap,patient,Sjogren's disease,1,6.007522058541224,6.1833050837469985,5.950792021025793,5.957396609344503
celiac disease,nausea with pain in the abdomen,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,shared nonspecific symptoms,patient,lupus,4,4.447074538198791,4.479902574311009,4.653818568143492,4.81236043087607
