disease,symptom,source_url,prompt,predicted,source_rank,bits_per_token__lupus,bits_per_token__rheumatoid arthritis,bits_per_token__Sjogren's disease,bits_per_token__celiac disease
lupus,a butterfly-shaped rash across the cheeks and nose,https://www.niams.nih.gov/health-topics/lupus,patient,lupus,1,5.210590627754943,5.279738331960933,5.314352521812947,5.331998418652458
lupus,a rash after exposure to sunlight,https://www.niams.nih.gov/health-topics/lupus,patient,lupus,1,4.433773783870907,4.621073212690676,4.658923977552392,4.807304162438535
lupus,color changes in the fingers and toes after cold exposure,https://www.niams.nih.gov/health-topics/lupus,patient,rheumatoid arthritis,2,5.117989493102929,5.056756141246097,5.123770166146336,5.223691601619248
rheumatoid arthritis,joint stiffness lasting more than 30 minutes after waking,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,5.409201478860532,5.253263039715799,5.423707996854737,5.574623631959576
rheumatoid arthritis,swelling of joints on both sides of the body,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,3.9159650699052606,3.5309349288877803,3.945440522902564,4.187432063310988
rheumatoid arthritis,swollen joints that make it difficult to form a fist,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,4.970997082293379,4.787821780968936,5.001616412226793,5.270183128318163
Sjogren's disease,eyes that feel dry and gritty,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,Sjogren's disease,1,6.895911659668228,7.08439448575299,6.876842641012712,7.2060917067003505
Sjogren's disease,a dry mouth that makes swallowing difficult,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,lupus,2,3.7703217383043084,4.2914426280610485,4.112109599934098,4.121029093160134
Sjogren's disease,swelling of glands around the face and neck,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,lupus,2,4.156032035353961,4.350041278234699,4.203022396428804,4.53492035391939
celiac disease,chronic diarrhea,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,celiac disease,1,5.2086275812968275,5.632432618342687,5.352785904334696,4.316225485701143
