disease,symptom,source_url
lupus,a butterfly-shaped rash across the cheeks and nose,https://www.niams.nih.gov/health-topics/lupus
lupus,a rash after exposure to sunlight,https://www.niams.nih.gov/health-topics/lupus
lupus,color changes in the fingers and toes after cold exposure,https://www.niams.nih.gov/health-topics/lupus
rheumatoid arthritis,joint stiffness lasting more than 30 minutes after waking,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis
rheumatoid arthritis,swelling of joints on both sides of the body,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis
rheumatoid arthritis,swollen joints that make it difficult to form a fist,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis
Sjogren's disease,eyes that feel dry and gritty,https://www.niams.nih.gov/health-topics/sjogrens-disease
Sjogren's disease,a dry mouth that makes swallowing difficult,https://www.niams.nih.gov/health-topics/sjogrens-disease
Sjogren's disease,swelling of glands around the face and neck,https://www.niams.nih.gov/health-topics/sjogrens-disease
celiac disease,chronic diarrhea,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes
celiac disease,greasy and bulky stools,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes
celiac disease,abdominal bloating,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes
lupus,painless sores in the mouth or nose,https://www.niams.nih.gov/health-topics/lupus
lupus,round scaly rashes on the skin,https://www.niams.nih.gov/health-topics/lupus
lupus,pain when breathing deeply,https://www.niams.nih.gov/health-topics/lupus
rheumatoid arthritis,tender warm and swollen joints,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis
rheumatoid arthritis,stiffness of the wrists hands and feet,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis
rheumatoid arthritis,joint pain at rest and while moving,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis
Sjogren's disease,dry nasal passages and a dry cough,https://www.niams.nih.gov/health-topics/sjogrens-disease
Sjogren's disease,tooth decay due to reduced saliva,https://www.niams.nih.gov/health-topics/sjogrens-disease
Sjogren's disease,difficulty speaking because the mouth is dry,https://www.niams.nih.gov/health-topics/sjogrens-disease
celiac disease,a rash called dermatitis herpetiformis,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes
celiac disease,damage to permanent tooth enamel,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes
celiac disease,loose and foul-smelling stools,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes
