disease,symptom,source_url,prompt,predicted,source_rank,bits_per_token__lupus,bits_per_token__rheumatoid arthritis,bits_per_token__Sjogren's disease,bits_per_token__celiac disease
lupus,a butterfly-shaped rash across the cheeks and nose,https://www.niams.nih.gov/health-topics/lupus,patient,lupus,1,5.581543361062627,5.59781440513896,5.665404743902241,5.715416438859892
lupus,a rash after exposure to sunlight,https://www.niams.nih.gov/health-topics/lupus,patient,rheumatoid arthritis,2,4.984639450841978,4.948430028513281,5.1976796335766595,5.214611408474309
lupus,color changes in the fingers and toes after cold exposure,https://www.niams.nih.gov/health-topics/lupus,patient,celiac disease,3,5.721819251325402,5.619218466865125,5.851936470367013,5.565274896726057
rheumatoid arthritis,joint stiffness lasting more than 30 minutes after waking,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,5.8086330462106845,5.515625911598802,5.821511526214232,5.940157820145513
rheumatoid arthritis,swelling of joints on both sides of the body,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,3.8740537277062845,3.568598841355795,4.010610949289046,4.016987274862845
rheumatoid arthritis,swollen joints that make it difficult to form a fist,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,5.289998211063432,5.169436066677604,5.369838225204034,5.439706298286644
Sjogren's disease,eyes that feel dry and gritty,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,lupus,2,8.045508449503291,8.27115542428515,8.123861669160101,8.19066869842201
Sjogren's disease,a dry mouth that makes swallowing difficult,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,lupus,3,5.547304036713392,5.678144933343305,5.667477945899685,5.576691593677406
Sjogren's disease,swelling of glands around the face and neck,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,lupus,2,4.756838348997458,4.918205580936777,4.805901693399884,5.087906022022636
celiac disease,chronic diarrhea,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,celiac disease,1,5.792600347728972,5.811281561886093,5.483927949752214,4.813197101903568
celiac disease,greasy and bulky stools,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,lupus,2,6.102365794751471,6.38216970397347,6.3590999511867325,6.190261290595397
celiac disease,abdominal bloating,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,celiac disease,1,5.04726052775965,5.010069619445026,4.793235613063705,4.220419092470138
lupus,painless sores in the mouth or nose,https://www.niams.nih.gov/health-topics/lupus,patient,Sjogren's disease,3,4.655742581207912,4.64850595219416,4.644846853613969,4.7139648257328854
lupus,round scaly rashes on the skin,https://www.niams.nih.gov/health-topics/lupus,patient,lupus,1,6.087666758684755,7.373653615864639,6.327010972298231,6.214282795201391
lupus,pain when breathing deeply,https://www.niams.nih.gov/health-topics/lupus,patient,lupus,1,5.010316908999135,5.295739729129414,5.3134487826887575,5.657934916674248
rheumatoid arthritis,tender warm and swollen joints,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,7.60967364370173,7.531535562056674,7.781388460249595,7.826728504470534
